Codigo de mesa,Partido,Num Votos
05-001-1-001-U,PP,41
05-001-1-001-U,VOX,23
05-001-1-001-U,PSOE,23
05-001-1-001-U,XAV,13
05-001-1-001-U,Cs,2
05-001-1-001-U,PODEMOS-IU-AV,1
05-001-1-001-U,PACMA,1
05-001-1-001-U,PYC (ANULADA),0
05-001-1-001-U,PCAS-TC-RC,0
05-001-1-001-U,FE de las JONS,0
05-002-1-001-A,PP,99
05-002-1-001-A,PSOE,85
05-002-1-001-A,VOX,46
05-002-1-001-A,PODEMOS-IU-AV,21
05-002-1-001-A,XAV,17
05-002-1-001-A,PACMA,7
05-002-1-001-A,Cs,7
05-002-1-001-A,PCAS-TC-RC,0
05-002-1-001-A,PYC (ANULADA),0
05-002-1-001-A,FE de las JONS,0
05-002-1-001-B,PSOE,108
05-002-1-001-B,PP,82
05-002-1-001-B,VOX,37
05-002-1-001-B,XAV,25
05-002-1-001-B,PODEMOS-IU-AV,20
05-002-1-001-B,Cs,4
05-002-1-001-B,PACMA,3
05-002-1-001-B,PCAS-TC-RC,2
05-002-1-001-B,FE de las JONS,0
05-002-1-001-B,PYC (ANULADA),0
05-002-1-002-A,PSOE,82
05-002-1-002-A,PP,76
05-002-1-002-A,VOX,47
05-002-1-002-A,PODEMOS-IU-AV,40
05-002-1-002-A,XAV,15
05-002-1-002-A,PACMA,1
05-002-1-002-A,Cs,1
05-002-1-002-A,PCAS-TC-RC,1
05-002-1-002-A,FE de las JONS,0
05-002-1-002-A,PYC (ANULADA),0
05-002-1-002-B,PSOE,86
05-002-1-002-B,PP,76
05-002-1-002-B,VOX,48
05-002-1-002-B,PODEMOS-IU-AV,22
05-002-1-002-B,XAV,15
05-002-1-002-B,Cs,2
05-002-1-002-B,PACMA,2
05-002-1-002-B,PCAS-TC-RC,2
05-002-1-002-B,PYC (ANULADA),0
05-002-1-002-B,FE de las JONS,0
05-005-1-001-U,PP,46
05-005-1-001-U,VOX,29
05-005-1-001-U,XAV,23
05-005-1-001-U,PSOE,19
05-005-1-001-U,PACMA,1
05-005-1-001-U,PCAS-TC-RC,1
05-005-1-001-U,FE de las JONS,1
05-005-1-001-U,PODEMOS-IU-AV,1
05-005-1-001-U,Cs,0
05-005-1-001-U,PYC (ANULADA),0
05-007-1-001-U,PP,39
05-007-1-001-U,PSOE,10
05-007-1-001-U,VOX,10
05-007-1-001-U,XAV,2
05-007-1-001-U,PYC (ANULADA),0
05-007-1-001-U,PODEMOS-IU-AV,0
05-007-1-001-U,PCAS-TC-RC,0
05-007-1-001-U,PACMA,0
05-007-1-001-U,FE de las JONS,0
05-007-1-001-U,Cs,0
05-008-1-001-U,PP,55
05-008-1-001-U,PSOE,32
05-008-1-001-U,VOX,19
05-008-1-001-U,XAV,7
05-008-1-001-U,PODEMOS-IU-AV,4
05-008-1-001-U,Cs,3
05-008-1-001-U,PCAS-TC-RC,1
05-008-1-001-U,FE de las JONS,1
05-008-1-001-U,PACMA,0
05-008-1-001-U,PYC (ANULADA),0
05-010-1-001-U,PP,38
05-010-1-001-U,VOX,23
05-010-1-001-U,PSOE,18
05-010-1-001-U,XAV,12
05-010-1-001-U,Cs,1
05-010-1-001-U,PODEMOS-IU-AV,1
05-010-1-001-U,PACMA,0
05-010-1-001-U,PYC (ANULADA),0
05-010-1-001-U,FE de las JONS,0
05-010-1-001-U,PCAS-TC-RC,0
05-012-1-001-U,PP,31
05-012-1-001-U,VOX,20
05-012-1-001-U,XAV,20
05-012-1-001-U,PSOE,20
05-012-1-001-U,Cs,3
05-012-1-001-U,PACMA,1
05-012-1-001-U,PCAS-TC-RC,0
05-012-1-001-U,PYC (ANULADA),0
